codigo,univComp
020010101,7
020010201,4
020010202,2
020010203,1
020010204,0
020010205,1
020010206,1
020010207,2
020010208,2
020010209,2
020010210,1
020010211,2
020010212,3
020010213,5
020010214,6
020010215,3
020010216,10
020010217,4
020010218,3
020010219,1
020010301,1
020010302,3
020010303,2
020010304,4
020010305,2
020010306,6
020010307,1
020010308,3
020010309,6
020010310,3
020010311,4
020010312,2
020010313,4
020010314,2
020010315,3
020010316,3
020010317,0
020010318,4
020010319,4
020010320,1
020010321,2
020010322,2
020010323,3
020010401,219
020010402,217
020010403,169
020010404,264
020010405,151
020010406,211
020010407,194
020010408,171
020010501,135
020010502,107
020010503,178
020010504,228
020010505,115
020010506,176
020010507,123
020010601,170
020010602,116
020010603,253
020010604,222
020010605,75
020010606,132
020010607,107
020010608,124
020010609,219
020010610,91
020010701,114
020010702,55
020010703,45
020010704,105
020010705,55
020010706,24
020010707,77
020010708,77
020010709,59
020010710,73
020010711,53
020010712,56
020010713,17
020010801,63
020010802,212
020010803,187
020010804,106
020010805,63
020010806,229
020010807,239
020010808,74
020010809,104
020010810,59
020010901,57
020010902,31
020010903,65
020010904,38
020010905,42
020010906,34
020010907,80
020010908,43
020010909,69
020010910,30
020010911,38
020010912,25
020010913,101
020010914,22
020010915,14
020010916,48
020010917,44
020010918,63
020010919,10
020011001,49
020011002,104
020011003,166
020011004,95
020011005,88
020011006,103
020011007,32
020011008,38
020011009,37
020011010,80
020011011,107
020011012,90
020011013,100
020011014,20
020011101,50
020011102,67
020011103,21
020011104,94
020011105,54
020011106,54
020011107,79
020011108,102
020011109,62
020011110,65
020011111,18
020011112,103
020011113,86
020011114,84
020011201,27
020011202,39
020011203,63
020011204,24
020011205,72
020011206,39
020011207,63
020011208,31
020011209,81
020011210,29
020011211,32
020011212,22
020011301,77
020011302,42
020011303,8
020011304,74
020011305,93
020011306,62
020011307,146
020011308,77
020011309,95
020011310,137
020011311,70
020011312,80
020011313,56
020011314,24
020011315,0
020011401,55
020011402,16
020011403,36
020011404,11
020011405,35
020011406,62
020011407,56
020011408,28
020011409,41
020011410,75
020011411,61
020011412,56
020011501,39
020011502,59
020011503,76
020011504,131
020011505,34
020011506,58
020011507,55
020011508,43
020011509,64
020011510,53
020011511,44
020011601,28
020011602,33
020011603,93
020011604,86
020011605,36
020011606,44
020011607,100
020011608,51
020011609,48
020011610,73
020011611,47
020011612,25
020011701,70
020011702,67
020011703,54
020011704,54
020011705,64
020011706,64
020011707,53
020011708,39
020011709,30
020011710,57
020011711,43
020011801,76
020011802,90
020011803,33
020011804,56
020011805,54
020011806,78
020011807,53
020011808,60
020011809,74
020011901,72
020011902,95
020011903,36
020011904,53
020011905,51
020011906,26
020011907,49
020011908,16
020011909,44
020012001,50
020012002,40
020012003,41
020012004,55
020012005,56
020012006,59
020012007,31
020012008,25
020012009,32
020012010,37
020012101,37
020012102,47
020012103,22
020012104,64
020012105,45
020012106,35
020012107,45
020012108,43
020012109,50
020012110,76
020012201,72
020012202,76
020012203,77
020012204,38
020012205,40
020012206,68
020012207,48
020012208,37
020012209,70
020012210,101
020012301,66
020012302,51
020012303,96
020012304,27
020012305,46
020012306,42
020012307,36
020012308,82
020012309,82
020012310,30
020012401,19
020012402,35
020012403,43
020012404,35
020012405,34
020012406,88
020012407,69
020012408,39
020012501,52
020012502,52
020012503,56
020012504,83
020012505,54
020012506,72
020012507,45
020012508,74
020012509,25
020012510,45
020012511,78
020012601,38
020012602,69
020012603,51
020012604,61
020012605,61
020012606,48
020012607,26
020012608,37
020012609,68
020012701,37
020012702,19
020012703,17
020012704,16
020012705,26
020012706,11
020012707,22
020012708,32
020012709,40
020012710,64
020012801,19
020012802,31
020012803,23
020012804,53
020012805,34
020012806,16
020012807,37
020012808,16
020012809,17
020012810,24
020012811,16
020012812,16
020012813,34
020012901,38
020012902,12
020012903,15
020012904,33
020012905,33
020012906,91
020012907,38
020012908,16
020012909,36
020020101,0
020020102,1
020020201,99
020020202,191
020020203,123
020020204,99
020020205,115
020020206,74
020020207,66
020020208,144
020020301,170
020020302,167
020020303,45
020020304,86
020020305,139
020020306,109
020020307,183
020020308,132
020020401,138
020020402,45
020020403,80
020020404,79
020020405,137
020020406,99
020020407,105
020020408,217
020020409,168
020020410,196
020020501,112
020020502,158
020020503,122
020020504,108
020020505,144
020020506,161
020020507,163
020020508,140
020020509,117
020020601,87
020020602,275
020020603,122
020020604,173
020020605,73
020020606,122
020020607,84
020020608,84
020020609,113
020020610,89
020020701,269
020020702,227
020020703,169
020020704,131
020020705,110
020020706,122
020020707,178
020020708,58
020020709,97
020020801,135
020020802,138
020020803,188
020020804,210
020020805,166
020020806,251
020020807,323
020020808,170
020020901,170
020020902,96
020020903,197
020020904,226
020020905,206
020020906,179
020020907,206
020020908,269
020020909,213
020021001,200
020021002,143
020021003,89
020021004,154
020021005,147
020021006,150
020021007,188
020021008,182
020021009,115
020021101,266
020021102,101
020021103,298
020021104,281
020021105,54
020021106,114
020021201,191
020021202,167
020021203,193
020021204,290
020021205,262
020021206,199
020021301,260
020021302,155
020021303,213
020021304,249
020021305,244
020021306,152
020021307,247
020021401,109
020021402,131
020021403,64
020021404,147
020021405,226
020021406,200
020021407,135
020021408,148
020021409,243
020021410,201
020021501,134
020021502,171
020021503,318
020021504,151
020021505,108
020021506,125
020021507,147
020021508,142
020021601,123
020021602,136
020021603,145
020021604,133
020021605,170
020021606,133
020021607,145
020021608,95
020021701,197
020021702,159
020021703,183
020021704,52
020021705,120
020021706,186
020021707,178
020021708,166
020021709,144
020021801,149
020021802,232
020021803,159
020021804,87
020021805,101
020021806,123
020021807,103
020021808,95
020021901,136
020021902,98
020021903,119
020021904,167
020021905,124
020021906,124
020021907,104
020021908,106
020022001,165
020022002,131
020022003,134
020022004,113
020022005,88
020022006,110
020022007,89
020022008,105
020022101,215
020022102,183
020022103,128
020022104,185
020022105,191
020022106,162
020022201,146
020022202,119
020022203,113
020022204,202
020022205,248
020022206,218
020022301,177
020022302,223
020022303,182
020022304,156
020022305,117
020022306,87
020022307,88
020022308,66
020022309,184
020022401,201
020022402,153
020022403,157
020022404,178
020022405,164
020022406,179
020022501,133
020022502,133
020022503,66
020022504,147
020022505,155
020022506,82
020022507,126
020022508,194
020022509,146
020022510,102
020022511,141
020030101,109
020030102,96
020030103,134
020030104,52
020030105,49
020030106,28
020030107,21
020030108,17
020030109,38
020030110,31
020030111,48
020030201,68
020030202,88
020030203,63
020030204,67
020030205,56
020030206,48
020030207,73
020030208,67
020030209,61
020030210,41
020030211,61
020030212,81
020030301,118
020030302,112
020030303,68
020030304,55
020030305,57
020030306,70
020030307,52
020030308,66
020030309,34
020030310,52
020030311,0
020030401,100
020030402,49
020030403,79
020030404,58
020030405,40
020030406,75
020030407,59
020030408,53
020030501,82
020030502,61
020030503,123
020030504,74
020030505,98
020030506,72
020030507,141
020030601,96
020030602,39
020030603,107
020030604,101
020030605,69
020030606,65
020030607,83
020030701,26
020030702,112
020030703,112
020030704,85
020030705,71
020030706,62
020030707,123
020030708,38
020030709,75
020030801,87
020030802,52
020030803,90
020030804,46
020030805,41
020030806,52
020030807,24
020030808,29
020030809,49
020030810,42
020030901,67
020030902,44
020030903,76
020030904,68
020030905,28
020030906,25
020030907,27
020030908,44
020030909,60
020030910,60
020031001,57
020031002,62
020031003,45
020031004,72
020031005,42
020031006,66
020031007,62
020031008,49
020031101,100
020031102,71
020031103,60
020031104,110
020031105,74
020031106,108
020031107,103
020031108,73
020031201,73
020031202,98
020031203,65
020031204,43
020031205,114
020031206,7
020031207,103
020031208,52
020031209,39
020031210,46
020031301,70
020031302,55
020031303,85
020031304,39
020031305,63
020031306,72
020031307,69
020031308,46
020031309,78
020031310,42
020031311,46
020031401,28
020031402,47
020031403,76
020031404,38
020031405,47
020031406,115
020031407,36
020031408,42
020031409,3
020031410,56
020031501,63
020031502,67
020031503,37
020031504,84
020031505,85
020031506,58
020031507,111
020031508,120
020031509,17
020031601,70
020031602,102
020031603,68
020031604,35
020031605,23
020031606,40
020031607,52
020031608,43
020031609,148
020031701,43
020031702,39
020031703,30
020031704,31
020031705,31
020031706,42
020031707,62
020031708,42
020031709,36
020031801,30
020031802,30
020031803,38
020031804,74
020031805,19
020031806,23
020031807,33
020031808,41
020031809,55
020031810,29
020031811,45
020031901,95
020031902,32
020031903,57
020031904,52
020031905,59
020031906,51
020031907,65
020031908,73
020031909,60
020031910,29
020032001,31
020032002,94
020032003,64
020032004,59
020032005,39
020032006,23
020032007,59
020032008,57
020032009,80
020032010,45
020032011,51
020032101,69
020032102,74
020032103,62
020032104,67
020032105,29
020032106,46
020032107,39
020032108,62
020032109,35
020032110,67
020032201,44
020032202,58
020032203,25
020032204,49
020032205,46
020032206,57
020032207,30
020032208,58
020032209,55
020032301,52
020032302,68
020032303,82
020032304,19
020032305,37
020032306,38
020032307,55
020032308,38
020032309,25
020032310,57
020032401,36
020032402,39
020032403,35
020032404,48
020032405,30
020032406,64
020032407,85
020032408,46
020032409,39
020032501,139
020032502,45
020032503,27
020032504,41
020032505,59
020032506,30
020032507,29
020032508,106
020032509,43
020032601,68
020032602,76
020032603,45
020032604,48
020032605,62
020032606,40
020032607,48
020032608,37
020032609,30
020032701,78
020032702,58
020032703,53
020032704,45
020032705,30
020032706,38
020032707,57
020040101,9
020040102,11
020040103,7
020040104,9
020040105,3
020040106,6
020040107,6
020040108,8
020040109,15
020040110,4
020040111,5
020040112,9
020040113,9
020040114,9
020040201,20
020040202,17
020040203,33
020040204,17
020040205,14
020040206,19
020040207,27
020040208,13
020040209,9
020040210,7
020040301,36
020040302,17
020040303,13
020040304,19
020040305,31
020040306,31
020040307,20
020040308,26
020040309,14
020040310,28
020040311,16
020040312,12
020040313,7
020040401,20
020040402,40
020040403,41
020040404,33
020040405,36
020040406,18
020040407,33
020040408,25
020040409,19
020040410,18
020040411,25
020040501,69
020040502,32
020040503,52
020040504,24
020040505,34
020040506,48
020040507,23
020040508,23
020040509,42
020040510,17
020040511,26
020040601,80
020040602,32
020040603,39
020040604,64
020040605,40
020040606,61
020040607,42
020040608,53
020040609,51
020040610,41
020040611,51
020040701,53
020040702,47
020040703,20
020040704,86
020040705,45
020040706,41
020040707,62
020040708,42
020040709,42
020040710,34
020040711,27
020040712,26
020040801,50
020040802,44
020040803,34
020040804,39
020040805,41
020040806,31
020040807,84
020040808,4
020040809,22
020040810,17
020040811,19
020040901,9
020040902,12
020040903,7
020040904,9
020040905,13
020040906,11
020040907,18
020041001,1
020041002,11
020041003,4
020041004,0
020041005,27
020041006,1
020041007,2
020041008,0
020041009,3
020041101,22
020041102,58
020041103,31
020041104,26
020041105,17
020041106,20
020041107,13
020041108,29
020041109,13
020041201,24
020041202,11
020041203,46
020041204,28
020041205,29
020041206,14
020041207,20
020041208,31
020041209,72
020041210,20
020041211,62
020041212,41
020041301,132
020041302,61
020041303,57
020041304,64
020041305,87
020041306,26
020041307,131
020041308,47
020041309,48
020041310,42
020041311,91
020041401,32
020041402,45
020041403,56
020041404,99
020041405,64
020041406,55
020041407,44
020041408,96
020041409,60
020041501,51
020041502,121
020041503,140
020041504,57
020041505,42
020041506,35
020041507,46
020041508,58
020041509,46
020041510,31
020041601,27
020041602,124
020041603,27
020041604,26
020041605,50
020041606,31
020041607,12
020041608,10
020041609,44
020041610,30
020041701,56
020041702,45
020041703,25
020041704,52
020041705,39
020041706,58
020041707,43
020041708,35
020041709,61
020041710,17
020041801,2
020041901,15
020041902,30
020041903,31
020041904,12
020041905,23
020041906,11
020041907,6
020041908,9
020041909,8
020041910,14
020042001,18
020042002,22
020042003,9
020042004,4
020042005,11
020042006,18
020042007,18
020042008,10
020042009,12
020042010,19
020042011,26
020042012,38
020042101,9
020042102,2
020042103,19
020042104,8
020042105,11
020042106,16
020042107,17
020042108,6
020042109,6
020042110,4
020042111,8
020042112,12
020042201,44
020042202,47
020042203,87
020042204,68
020042205,49
020042206,68
020042207,83
020042208,36
020042209,19
020042210,24
020042211,43
020042212,17
020042301,9
020042302,18
020042303,22
020042304,18
020042305,31
020042306,38
020042307,26
020042308,25
020042309,9
020042310,18
020042311,6
020042312,9
020042401,0
020042402,4
020042403,1
020042404,0
020042405,2
020042406,6
020042501,4
020042502,5
020042503,17
020042504,3
020042601,1
020042602,4
020042603,4
020050101,73
020050102,124
020050103,83
020050104,111
020050105,135
020050106,48
020050107,75
020050108,96
020050109,96
020050110,66
020050201,108
020050202,68
020050203,107
020050204,155
020050205,67
020050206,53
020050207,41
020050208,165
020050209,80
020050210,56
020050211,94
020050301,71
020050302,112
020050303,14
020050304,53
020050305,78
020050306,75
020050307,60
020050308,46
020050309,59
020050310,44
020050311,88
020050401,117
020050402,96
020050403,87
020050404,85
020050405,82
020050406,136
020050407,62
020050408,148
020050409,76
020050501,85
020050502,173
020050503,106
020050504,75
020050505,75
020050506,85
020050507,83
020050508,100
020050601,109
020050602,136
020050603,120
020050604,188
020050605,152
020050606,82
020050607,110
020050608,121
020050701,131
020050702,62
020050703,71
020050704,163
020050705,133
020050706,58
020050707,41
020050708,81
020050801,139
020050802,81
020050803,158
020050804,118
020050805,44
020050806,94
020050807,110
020050808,95
020050809,91
020050901,126
020050902,75
020050903,71
020050904,59
020050905,79
020050906,70
020050907,55
020050908,82
020050909,101
020050910,79
020051001,129
020051002,146
020051003,30
020051004,57
020051005,42
020051006,74
020051007,112
020051008,77
020051009,86
020051010,62
020051101,131
020051102,108
020051103,88
020051104,86
020051105,97
020051106,90
020051107,109
020051108,75
020051109,87
020051110,106
020051201,60
020051202,251
020051203,141
020051204,74
020051205,54
020051206,231
020051207,87
020051301,127
020051302,88
020051303,100
020051304,76
020051305,83
020051306,134
020051307,92
020051308,140
020051309,145
020051401,92
020051402,68
020051403,100
020051404,105
020051405,195
020051406,155
020051407,34
020051408,85
020051409,91
020051501,98
020051502,113
020051503,55
020051504,133
020051505,103
020051506,89
020051507,76
020051508,46
020051509,15
020051601,97
020051602,45
020051603,32
020051604,49
020051605,68
020051606,46
020051607,39
020051608,66
020051609,70
020051610,54
020051611,95
020051701,58
020051702,78
020051703,76
020051704,69
020051705,103
020051706,90
020051707,110
020051708,98
020051709,43
020051710,60
020051711,111
020051801,103
020051802,81
020051803,65
020051804,62
020051805,58
020051806,49
020051807,73
020051808,22
020051809,52
020051810,69
020051811,74
020051901,64
020051902,45
020051903,67
020051904,69
020051905,42
020051906,61
020051907,34
020051908,90
020051909,60
020051910,71
020051911,97
020052001,34
020052002,55
020052003,41
020052004,43
020052005,36
020052006,34
020052007,40
020052008,40
020052009,39
020052010,44
020052011,46
020052012,23
020052101,82
020052102,54
020052103,39
020052104,66
020052105,47
020052106,56
020052107,48
020052108,26
020052109,39
020052110,34
020052111,39
020052201,48
020052202,39
020052203,43
020052204,60
020052205,44
020052206,53
020052207,90
020052208,31
020052209,36
020052210,40
020052211,50
020052212,36
020052213,23
020060101,45
020060102,44
020060103,66
020060104,44
020060105,96
020060106,66
020060107,55
020060108,60
020060109,45
020060110,35
020060111,60
020060112,59
020060201,114
020060202,103
020060203,60
020060204,61
020060205,71
020060206,110
020060207,75
020060208,110
020060209,82
020060210,89
020060211,166
020060301,80
020060302,80
020060303,82
020060304,73
020060305,60
020060306,76
020060307,91
020060308,80
020060309,116
020060310,99
020060401,41
020060402,68
020060403,96
020060404,81
020060405,78
020060406,82
020060407,52
020060408,115
020060409,81
020060410,102
020060411,107
020060501,77
020060502,120
020060503,104
020060504,78
020060505,124
020060506,85
020060507,87
020060508,60
020060509,78
020060510,91
020060511,139
020060512,28
020060601,132
020060602,320
020060603,143
020060604,62
020060605,65
020060606,102
020060607,94
020060608,112
020060609,112
020060701,83
020060702,110
020060703,74
020060704,98
020060705,85
020060706,75
020060707,121
020060708,77
020060709,114
020060710,101
020060711,81
020060712,86
020060713,85
020060801,101
020060802,142
020060803,84
020060804,83
020060805,86
020060806,149
020060807,98
020060808,174
020060809,62
020060810,114
020060901,74
020060902,91
020060903,92
020060904,177
020060905,32
020060906,133
020060907,66
020060908,76
020060909,148
020060910,102
020061001,74
020061002,50
020061003,113
020061004,80
020061005,151
020061006,127
020061007,87
020061008,181
020061009,82
020061010,155
020061101,112
020061102,54
020061103,97
020061104,118
020061105,64
020061106,94
020061107,85
020061108,98
020061109,66
020061110,58
020061201,65
020061202,55
020061203,52
020061204,43
020061205,111
020061206,66
020061207,98
020061208,103
020061209,102
020061210,79
020061211,84
020061212,48
020061301,89
020061302,170
020061303,107
020061304,165
020061305,123
020061306,73
020061307,135
020061308,161
020061309,146
020061401,149
020061402,82
020061403,124
020061404,154
020061405,142
020061406,174
020061407,81
020061408,85
020061409,118
020061410,139
020061501,102
020061502,218
020061503,116
020061504,112
020061505,108
020061506,120
020061507,98
020061508,105
020061509,66
020061510,133
020061601,75
020061602,122
020061603,132
020061604,105
020061605,127
020061606,156
020061607,139
020061608,216
020061609,130
020061610,157
020061611,115
020061701,113
020061702,123
020061703,86
020061704,120
020061705,211
020061706,109
020061707,84
020061801,93
020061802,79
020061803,88
020061804,136
020061805,135
020061806,179
020061807,175
020061808,147
